State/District,Murder with Rape/Gang Rape,Dowry Deaths (Sec. 304B IPC),Abetment to Suicide of Women (Sec. 305/306 IPC),Miscarriage ,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),Cruelty by Husband or his relatives,Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),Rape,"Dowry Prohibition Act, 1961",YEAR,Total_Crimes ,Severe_Crimes,Safety_Label
Intelligence Wing,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Special Task Force,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
CID CB,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Jaipur Crime,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
SSB,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
SOG,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
SCRB,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Jaipur Metro,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Churachandpur,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
CID,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Kangpokpi,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Noney,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Spl Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Kiphire,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Longleng,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Peren,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Phek,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Wokha,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Zunheboto,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
GRP,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
EOW,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Vigilance,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Railway Police Secunderabad,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Other Units,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
GRP,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Economic Offences Unit,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Anti Terrorist Squad,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Subansiri Lower,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Siang,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Kamle,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Leparada,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Shiyomi,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Pakkessang,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
BIEO,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
CID,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Katihar Railway,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
SOU,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
STF,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Karaikal,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Cyber Crime Cell,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
